date,Clarkdale,Cornville,Cottonwood,Sedona
26-Jun-2020,12,10,87,44
29-Jun-2020,13,12,100,47
30-Jun-2020,13,12,104,49
2-Jul-2020,21,14,112,56
6-Jul-2020,25,14,120,57
7-Jul-2020,26,13,121,59
8-Jul-2020,28,17,130,62
9-Jul-2020,28,17,133,61
10-Jul-2020,28,17,135,61
13-Jul-2020,29,18,155,68
14-Jul-2020,30,19,165,69
15-Jul-2020,33,19,169,72
16-Jul-2020,33,21,171,74
17-Jul-2020,35,21,179,74
20-Jul-2020,40,23,183,78
21-Jul-2020,42,23,185,78
22-Jul-2020,42,23,187,81
23-Jul-2020,43,24,190,82
24-Jul-2020,44,24,195,83
27-Jul-2020,47,25,203,91
28-Jul-2020,48,26,209,93
29-Jul-2020,50,26,214,95
30-Jul-2020,50,27,216,98
31-Jul-2020,52,28,220,102
3-Aug-2020,55,28,231,106
4-Aug-2020,57,28,233,110
6-Aug-2020,60,28,238,119
7-Aug-2020,60,28,241,120
10-Aug-2020,61,29,246,124
12-Aug-2020,63,29,254,125
13-Aug-2020,63,29,257,127
14-Aug-2020,65,29,258,128
17-Aug-2020,64,28,259,96
18-Aug-2020,64,29,259,96
19-Aug-2020,64,29,259,97
20-Aug-2020,64,29,261,99
21-Aug-2020,64,29,264,99
