Date,Ash Fork,Bagdad,Black Canyon City,Camp Verde,Chino Valley,Clarkdale,Congress,Cornville,Cottonwood,Dewey-Humboldt,Mayer,Paulden,Prescott,Prescott Valley,Rimrock,Sedona,Yarnell,Other Quad-Cities,Other Verde Valley,Unknown
06/26/2020,0,0,7,44,21,12,0,10,87,22,19,9,109,85,11,44,0,9,0,2
06/29/2020,0,0,6,49,36,13,0,12,100,25,23,11,178,108,11,47,0,10,0,19
06/30/2020,0,0,8,52,35,13,0,12,104,25,24,11,182,117,11,49,0,10,1,17
07/02/2020,0,0,11,53,32,21,0,14,112,28,29,14,183,129,12,56,0,11,1,27
07/06/2020,0,5,11,63,39,25,0,14,120,37,26,15,213,187,14,57,0,8,1,15
07/07/2020,0,5,12,62,42,26,0,13,121,40,25,15,220,193,14,59,0,10,1,18
07/08/2020,0,5,12,66,43,28,0,17,130,44,26,15,231,197,14,62,0,10,1,17
07/09/2020,0,5,12,66,43,28,0,17,133,44,26,15,237,202,14,61,0,13,1,16
07/10/2020,0,5,12,67,44,28,0,17,135,45,28,16,244,203,14,61,0,13,1,14
07/13/2020,0,6,14,71,48,29,5,18,155,51,31,17,260,232,17,68,0,12,1,11
07/14/2020,0,7,15,75,51,30,5,19,165,54,30,19,263,233,17,69,0,14,1,11
07/15/2020,0,7,15,77,53,33,7,19,169,58,31,24,272,237,18,72,0,14,1,14
07/16/2020,0,7,15,81,57,33,7,21,171,58,33,26,279,247,18,74,0,17,1,15
07/17/2020,0,7,15,88,58,35,7,21,179,58,38,28,287,261,18,74,0,17,1,7
07/20/2020,5,6,15,93,64,40,7,23,183,69,40,30,304,289,23,78,0,14,1,15
07/21/2020,4,6,15,106,64,42,7,23,185,70,40,30,307,292,24,78,0,15,1,17
07/22/2020,4,6,16,106,65,42,7,23,187,71,40,30,311,300,25,81,0,17,1,17
07/23/2020,4,6,16,108,65,43,7,24,190,73,40,32,323,308,26,82,0,19,1,18
07/24/2020,4,6,16,108,67,44,7,24,195,76,41,33,326,316,27,83,5,19,1,13
