Location,Population,Date,,,,
Arizona,7279000,2019,,,,
Yavapai County,235099,2019,,,,
Ash Fork,396,2010,,,,
Bagdad,1876,2010,,,,
Black Canyon City,2837,2010,,,,
Camp Verde,11239,2018,,,,
Chino Valley,12003,2018,,,,
Clarkdale,4393,2018,,,,
Congress,4821,2010,,,,
Cornville,3280,2010,,,,
Cottonwood,12199,2018,,,,
Dewey,4106,2018,,,,~
Humboldt,4106,2018,,,,
Mayer,1584,2018,,,,
Paulden,913,2010,,,,
Prescott,43314,2018,,,,
Prescott Valley,45751,2018,,,,
Rimrock,5364,2018,,,,
Sedona,10335,2018,,,,
Village of Oak Creek,6147,2010,,,,
Yarnell,649,2010,,,,
